shortName,FC,Significance,GeneName,Color
PSME2,0.362188970721766,0.874176930329029,,#D3D3D3
WDR43,0.494550672005819,1.09596242424243,,#D3D3D3
ITFG1,-0.307489212486201,0.572652420789475,,#D3D3D3
DOC2B,-0.933987862568902,1.52293565962657,,#D55E00
ZNF718,0.434051197154397,0.418911571623728,,#D3D3D3
TSC1,0.178512018370318,0.191979785352191,,#D3D3D3
SORCS1,-0.241361991184542,0.286852085365104,,#D3D3D3
ZNF330,-0.850642262046461,1.15011815335779,,#D3D3D3
CACFD1,-0.471053266124976,0.56224212506591,,#D3D3D3
PCDH15,-1.15809589113347,1.8243041710296,,#D55E00
LUZP1,0.800506170554959,0.899108248366666,,#D3D3D3
SUPT20HL1,0.0875593069219262,0.0558110327243656,,#D3D3D3
FAM98C,-0.0055773740645617,0.00421859098343097,,#D3D3D3
ERGIC2,0.00631830778744327,0.00937442224023357,,#D3D3D3
TET1,-0.395851414152921,0.266335609844133,,#D3D3D3
R3HCC1L,0.246433678805303,0.43024716877998,,#D3D3D3
CACNA1S,0.0251600544583436,0.0213219685787317,,#D3D3D3
PIGY,0.248824345663112,0.246280779184697,,#D3D3D3
URI1,-0.0228408700351254,0.0486615837387302,,#D3D3D3
DNAJA2,0.239230931574358,0.690610531405087,,#D3D3D3
LSG1,-0.032165679077884,0.048189438252741,,#D3D3D3
CUTA,0.362330097984529,1.45350078524035,,#D3D3D3
KCNK13,-0.125988378143077,0.0960437227521994,,#D3D3D3
HNRNPUL1,-0.104450572185684,0.681489250074912,,#D3D3D3
COL22A1,-0.658095891133476,0.602246177235532,,#D3D3D3
CXCL2,-0.0840652503104156,0.0467580930251218,,#D3D3D3
SCP2,-0.330847145607793,0.864169123375057,,#D3D3D3
TUT1,-0.318158627964726,0.417296024077493,,#D3D3D3
IVD,0.123082795189173,0.168241975385982,,#D3D3D3
C4orf51,0.158489286407011,0.177464765765336,,#D3D3D3
WDR74,-0.216767174758983,0.143500218250882,,#D3D3D3
MRGPRF,-1.47212431098488,1.77123739386935,,#D55E00
ECPAS,-0.924838836354122,3.57018050146015,,#D55E00
KLHL41,0.670904907444367,0.843626793026243,,#D3D3D3
CTSS,-1.56395849231174,5.18457978359591,,#D55E00
R3HCC1,-0.0221291646578612,0.0211388933969293,,#D3D3D3
CYP19A1,0.0437202392829607,0.0333563096189309,,#D3D3D3
ABHD17C,-0.280923490161178,0.40047894684221,,#D3D3D3
ALOX15B,-0.664869555216367,0.869779603983936,,#D3D3D3
BRI3,-1.99418976061457,7.87727266964331,,#D55E00
IL4R,-0.237084833368492,0.625921172414801,,#D3D3D3
TSPAN32,1.45902908867124,2.84650558818795,,#DECAC2
GAL,-0.616172763300815,0.969813882542168,,#D3D3D3
RBBP6,0.615780374005323,1.36794226309249,,#DECAC2
KDM4A,0.0204909917634102,0.0227669444330207,,#D3D3D3
PPT1,-1.36118347182103,5.89442435554055,,#D55E00
LRR1,-0.128704012699851,0.139733309850764,,#D3D3D3
PHF21B,0.459328128278829,0.429854520104376,,#D3D3D3
