num,ROI_Name,X_position,Y_position,type,PathwayNameFull,Pathway_Value,PathwayName
95,Germinal center_ROI001,23975,27060,Germinal center,CD80; CD80 antigen,-0.409185721,CD80 
96,Germinal center_ROI004,25384,18364,Germinal center,CD80; CD80 antigen,-0.161255212,CD80 
97,Paracortex zone_ROI018,26014,26134,Paracortex zone,CD80; CD80 antigen,1.770040753,CD80 
98,Paracortex zone_ROI003,23615,27609,Paracortex zone,CD80; CD80 antigen,1.577944202,CD80 
99,Paracortex zone_ROI009,10097,34409,Paracortex zone,CD80; CD80 antigen,1.848032765,CD80 
100,Paracortex zone_ROI015,20756,36279,Paracortex zone,CD80; CD80 antigen,1.509513702,CD80 
101,Paracortex zone_ROI006,25105,18785,Paracortex zone,CD80; CD80 antigen,1.631981175,CD80 
102,Paracortex zone_ROI012,10169,32873,Paracortex zone,CD80; CD80 antigen,0.87868369,CD80 
103,Mantle zone_ROI008,9380,34978,Mantle zone,CD80; CD80 antigen,-0.706915568,CD80 
104,Mantle zone_ROI014,22224,36621,Mantle zone,CD80; CD80 antigen,-0.954091014,CD80 
105,Mantle zone_ROI002,24303,27332,Mantle zone,CD80; CD80 antigen,-1.365180779,CD80 
106,Mantle zone_ROI005,25645,18105,Mantle zone,CD80; CD80 antigen,-1.207768091,CD80 
107,Mantle zone_ROI011,8967,33528,Mantle zone,CD80; CD80 antigen,-0.105241255,CD80 
108,Mantle zone_ROI017,25314,27219,Mantle zone,CD80; CD80 antigen,-0.939348845,CD80 
109,Germinal center_ROI027,21345,12134,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-0.660714686,ICOSL
110,Germinal center_ROI026,27284,24303,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-0.063327698,ICOSL
111,Germinal center_ROI025,22106,13564,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",0.028510158,ICOSL
112,Germinal center_ROI022,7333,20899,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",0.510445714,ICOSL
113,Germinal center_ROI024,20423,22880,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",0.838475924,ICOSL
114,Germinal center_ROI013,21798,36418,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",0.616967888,ICOSL
115,Germinal center_ROI023,12921,26841,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",0.48146703,ICOSL
116,Germinal center_ROI019,9260,15437,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-0.203244295,ICOSL
117,Germinal center_ROI007,9503,34845,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-0.390091608,ICOSL
118,Germinal center_ROI010,9318,33128,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-0.305850343,ICOSL
119,Germinal center_ROI016,25388,26749,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-0.808958156,ICOSL
120,Germinal center_ROI020,6925,16105,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-0.23008232,ICOSL
121,Germinal center_ROI021,11177,16145,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",-0.825650323,ICOSL
122,Germinal center_ROI001,23975,27060,Germinal center,"ICOSLG, ICOSL; inducible T-cell co-stimulator ligand",0.176735792,ICOSL
