ROI,X_position,Y_position,gene,gene_value,type,SegmentLabel,full_gene_name
F | 6B | 017 | Full ROI,25314,27219,Naïve B cells,0.390100877285343,Mantle zone,Geometric,Naïve B cells
F | 6B | 017 | Full ROI,25314,27219,Memory B cells,0.394285966885231,Mantle zone,Geometric,Memory B cells
F | 6B | 017 | Full ROI,25314,27219,Plasma cells,0.00571001968125477,Mantle zone,Geometric,Plasma cells
F | 6B | 017 | Full ROI,25314,27219,Naïve CD4 T cells,0.0257538749824369,Mantle zone,Geometric,Naïve CD4 T cells
F | 6B | 017 | Full ROI,25314,27219,Memory CD4 T cells,0.0771727710549725,Mantle zone,Geometric,Memory CD4 T cells
F | 6B | 017 | Full ROI,25314,27219,Naïve CD8 T cells,0,Mantle zone,Geometric,Naïve CD8 T cells
F | 6B | 017 | Full ROI,25314,27219,Memory CD8 T cells,0.0171876398896778,Mantle zone,Geometric,Memory CD8 T cells
F | 6B | 017 | Full ROI,25314,27219,Natural killer cells,0.00413112998256916,Mantle zone,Geometric,Natural killer cells
F | 6B | 017 | Full ROI,25314,27219,Plasmacytoid dendritic cells,0.00579044144398771,Mantle zone,Geometric,Plasmacytoid dendritic cells
F | 6B | 017 | Full ROI,25314,27219,Myeloid dendritic cells,0.000572445897757442,Mantle zone,Geometric,Myeloid dendritic cells
F | 6B | 017 | Full ROI,25314,27219,Classical monocytes,0,Mantle zone,Geometric,Classical monocytes
F | 6B | 017 | Full ROI,25314,27219,"Non-classical, intermediate monocytes",0,Mantle zone,Geometric,"Non-classical, intermediate monocytes"
F | 6B | 017 | Full ROI,25314,27219,Neutrophils,0.00197687048101932,Mantle zone,Geometric,Neutrophils
F | 6B | 017 | Full ROI,25314,27219,Regulatory T cells,0.0266001163365162,Mantle zone,Geometric,Regulatory T cells
F | 6B | 017 | Full ROI,25314,27219,Endothelial cells,0.019301422214864,Mantle zone,Geometric,Endothelial cells
F | 6B | 017 | Full ROI,25314,27219,Fibroblasts,0.0151115267305032,Mantle zone,Geometric,Fibroblasts
G | 6B | 028 | CD11c,3849,25684,Macrophages,0.169470568398498,Germinal center - CD11c+,CD11c,Macrophages
G | 6B | 028 | CD11c,3849,25684,Mast cells,0,Germinal center - CD11c+,CD11c,Mast cells
G | 6B | 028 | CD11c,3849,25684,Naïve B cells,0.344945289605344,Germinal center - CD11c+,CD11c,Naïve B cells
G | 6B | 028 | CD11c,3849,25684,Memory B cells,0.332186525979274,Germinal center - CD11c+,CD11c,Memory B cells
G | 6B | 028 | CD11c,3849,25684,Plasma cells,0.0262706949729302,Germinal center - CD11c+,CD11c,Plasma cells
G | 6B | 028 | CD11c,3849,25684,Naïve CD4 T cells,0.0634886090850654,Germinal center - CD11c+,CD11c,Naïve CD4 T cells
